utterance	label_0	label_1	label_2
밤 내내 뒤척거리니까 삶이 다 우울해지는 것 같아	10	20	70
왜 이리 공허하지	80	10	10
행복해야만 하는 시기에 시댁이 자꾸 미워져요	10	80	10
책 읽거나 일할 때 너무 산만한 거 같아	5	5	90
임신하고 나서 지옥에 온 것 같아요	10	10	80
에드워드 증후군이라는 소리를 들으니까 너무 죄책감 느껴	10	70	20
사람들이 쳐다보면 내가 못생겨서 그러나 하는 마음이 들어.	20	70	10
임신 중에 남편이 성매매하는걸 알고 생지옥이 따로 없었어	70	10	20
지금도 우울함은 계속 마음속에 남아있는 것 같아.	20	10	70
일은 쌓이는데 눕고만 싶고 아무것도 하고 싶지 않아	70	20	10
그냥 죽어버리게	10	70	20
이런 생활을 반복하다 보니까 몸무게가 진짜 엄청 늘어난 거예요.	5	5	90
기분도 항상 다운되고 웃음이 사라진 것 같아.	10	10	80
그냥 하루하루가 지옥 같아요. 죽고 싶어요.	5	90	5
처음에는 아무렇지 않았는데 시간이 지날수록 외롭다는 게 뭔지 알 것 같아.	10	80	10
이렇게 사느니 그냥 죽는 게 나은 것 같아서 이틀 전에 다시 자살을 생각했어요.	10	70	20
현실감이 생기기 시작하니까 좋아하던 거에는 흥미가 안 생긴다	70	10	20
신경 쓸 게 너무 많고 피곤해서 아무 일도 못 하겠어	20	10	70
맨날 자고 있는 아이 보면 정말 하루종일 우울해요.	10	10	80
몸무게를 재보니까 한달마다 5키로씩 찌고 있더라.	10	20	70
그래도 여전히 우울한 마음이 들긴해요.	20	10	70
좌절만 하게 되는것 같아서 너무 힘들어	10	70	20
출근길에 특히 울렁거린다	10	10	80
심하게 많이 먹게 된 것 같아	10	10	80
스트레스 받으니까 밥 먹는 것도 귀찮아	10	10	80
그래서 죽고 싶다는 말을 입에 달고 살았어..	10	70	20
요즘 자꾸만 슬퍼져요	20	10	70
우울한 기분이 주기적으로 와.	20	10	70
지난주에 근무할 때는 더 이상은 힘들겠다는 생각이 들만큼 답답했어요.	20	10	70
초기 때 엉엉 울기만 했는데 지금은 그냥 분노가 조절 안 돼	10	80	10
기분이 늘 우울한 건 아니에요.	10	10	80
약 때문에 잠은 못 자고 자꾸 울적해진다	5	5	90
의욕이 없는 건 어쩔 수 없지만 우울한 건 진짜 힘든 것 같아	80	10	10
확 목이라도 매달까봐	5	90	5
아무것도 안 하고 살면 천국일 것 같아.	10	10	80
출산준비 혼자 하는 것 같아서 쓸쓸하네	5	90	5
근데 나중에 받을 상처보다는 외로운게 나아요.	10	80	10
요즘 진짜 머리가 너무 복잡하고 힘들다…	5	5	90
대학 다니는 내내 너무 힘들었어요.	10	20	70
내가 뭘 그렇게 잘못했을까.	10	70	20
왜 난 머리가 좋지 않을까.	10	80	10
기분전환 삼아 친한 친구와 만나도 금새 무기력해져	10	20	70
반포대교에서 뛰어내리면 바로 죽을 수 있으려나?	10	80	10
나도 한심스럽고 남편도 너무 미워.	80	10	10
살 길이 막막하게 느껴지니까 아기도 포기하고 싶어	10	10	80
괴로운 생각이 자꾸 드니까 내가 이것밖에 안되는 인간인가 싶고 그래	90	5	5
너무 가슴 아프고 죄책감에 빠져서 허우적거리게 되는 것 같아	20	70	10
현실인지 알고 싶어서 눈뜨자마자 손목을 그어버렸어.	10	70	20
이렇게 원하는데도 아기를 가질 수 없다고 생각하니까 매일이 지옥같았어	70	10	20
직장을 그만두니까 만나는 사람이 없고 완전 아싸 인생 	20	70	10
도무지 어떻게 해야 할 지 모르겠다… 너무 힘들어.	20	10	70
몸이 처지니까 자꾸 성질이 나	5	5	90
계절이 바뀌니까 우울한 거 같아	80	10	10
아무것도 하기 싫어서 죽겠어요.	5	5	90
3주 전부터 입맛이 없었어요.	10	10	80
기형아 검사 결과 기다리는데 너무 초조하고 몸도 무겁게 느껴져	10	10	80
살 찌고 부터 사람들이 나를 비웃는 것처럼 느껴졌어.	20	70	10
선배들이 동아리 들라고 하는 것도 하나도 안 가고, 친구들이 맛있는 밥집 있다고 그러는데도 전혀 흥미가 안 생겼어요.	5	5	90
이세상에서 나 혼자뿐인 것 같고 힘들어서 술 마셨어	90	5	5
갑상선에 문제 생겼다고 하니까 전부 내 잘못 같아서 아기한테 미안하고 죄책감 너무 심하게 들고…	20	70	10
먹을 때 오히려 몸무게가 더 주는 것 같아	10	20	70
단음식도 전부 끊었는데 임당 재검 떠서 침울해	70	20	10
짜증나서 배가 안 고파도 계속 먹어	10	10	80
태동이 줄어든 이후로 초조하고 숨 쉬기도 어려워	10	20	70
남편은 허리디스크 수술을 받고 일정한 직업없이 매일 술만 먹고 지내는데 제가 어떻게 맨정신일 수 있겠어요..	5	5	90
너무 놀아서 그런지 글자가 머리에 안 들어오고 우울하다	5	5	90
주위에 사람이 없다는 건 우울하지.	5	5	90
살이 너무 많이 빠져서 옷이 맞는 게 없어요.	20	10	70
그냥… 이 세상이 날 가두고 괴롭히는 것 같아서 원망스러워.	70	20	10
내가 아들 가졌으면 남편이랑 어머니랑 화해를 했을 텐데	10	80	10
혼자 있으면 허전하고 쓸쓸한 기분이 들어요	70	20	10
어떻게 해야 참담한 감정이 풀릴 수 있니	20	70	10
바빠서 그런지 살이 빠지는 것 같아	20	10	70
아이때문에 날카로워졌지	10	10	80
나는 맨날 참고만 사는 것 같아	10	10	80
그래서 스트레스를 너무 받아가지구 우울해지더라구.	10	20	70
운동도 하는데 계속 가뿐하지가 않네	5	5	90
아…진짜 농약이라도 타서 먹여야하나싶다.	70	20	10
하루 종일 짜증만 내다가 끝나는 거 같아	10	80	10
남편이랑 사는 게 힘들어서 그랬어요.	70	10	20
밥 청소 다 하기 싫고 그냥 친정 가고 싶어	10	10	80
사는 게 지루하다.	10	20	70
모든 게 다 꼬여버린 것 같아.	10	70	20
평소에 항상 우울하고 불안해요.	5	5	90
원래도 우울증이 좀 있긴 했는데 바빠서 잊고 지냈거든.	5	5	90
누가 옆에 있든 간에 그냥 멍하게 있어	90	5	5
그런데 내 문제에 대해서는 말도 못 하고… 괜찮은 척 웃고 있는 게 너무 괴로웠어요.	10	20	70
너무 이른 나이에 임신을 한 것 같아서 고독한 것 같아	10	70	20
요즘 맨날 자살 생각 하거든요.	10	70	20
아무도 나를 응원해주는 사람이 없었거든.	5	90	5
뭔가 집중력도 떨어진 것 같아요.	5	5	90
남자친구도 못 만들고, 친구도 못 만나는 상황이 처량하게 느껴져서 우울해요. 	10	20	70
혼자 있을 때 미친 듯이 먹어요	10	20	70
임용이 어려울 줄은 알았지만 너무 힘들어요.	10	10	80
정신적으로 너무 괴로우니까 자꾸 술 담배를 찾게 돼. 그냥 연기처럼 사라지고 싶어.	20	10	70
심각하게 식욕이 없는 것 같아	5	5	90
아침에 일어나는 일이 정말 죽기보다 싫은 거야	10	10	80
나한테 해준 것도 없으면서 잔소리는 왜 그렇게 심한 건데?	70	20	10
죽고싶은데 죽기는 무서워서 자해를 계속 하는 것 같아.	10	70	20
인간은 죽는다는 건 이렇게 허무하구나.	20	10	70
잠이 이렇게 안 올 수가 있나 싶어	20	10	70
좋아하는 걸 해도 모든 게 지겹고 재미없어	80	10	10
어떻게 한 임신인데 유산되면 진짜 허망하고 화가 날 거야	70	10	20
우리집은 왜 남들처럼 잘 살질 못 할까 우울하기도 하고…	5	5	90
나 말고 다른 친구들은 성적 잘 받은 거 같아서 열 받기도 하고…	70	20	10
이유도 없이 밥맛이 없어	20	10	70
얼굴이 못 생겨서 자꾸 이러나 싶기도 하고.	5	90	5
입덧 때문에 애기가 미워지고 이런 자신한테 어이없고 애기한테 미안해서 죄책감 들어	20	70	10
육아도 저 혼자해서 더 외롭고 집안일도 하기 싫어요.	5	90	5
인수인계 다 해놔도 후임자들이 관둬서 힘이 빠져	10	20	70
점점 소외감을 느껴	10	70	20
짧으면 이주…. 길면 두세달... 우울하고 불안했어.	20	10	70
지난 학기에 장학금도 못 받아서 정말 죽고 싶었어.	20	10	70
이런 생각 때문에 밖에 나가는게 힘들어요.	10	10	80
마치 감옥 속에 혼자 있는 것 같아	10	70	20
한동안은 더 바깥으로 안 나가고 싶어할 것 같아.	20	10	70
그렇게 먹고 앉아서 공부만 하니까 살도 되게 쪄서 또 스트레스 받고…	10	20	70
자는 게 너무 힘들어	20	10	70
시댁에 있으니까 체중이 줄었네	10	20	70
집에만 있으니까 더 힘이 없네	10	20	70
내가 창피해서 밖에서 말도 못 하겠어	20	10	70
늦게 임신한 내가 미워	70	10	20
결혼하고 나서 괜히 내 인생망친 것 같고 쓸쓸해	10	70	20
집에 있으면 괜찮아서 거의 집에만 있어요.	5	5	90
살기 싫은데 어떡하냐	20	70	10
너무 초조하고 숨이 가빠서 숨 쉬는 방법도 잊어버린 거 같아	10	10	80
하루종일 굶다가 한 번에 과식을 하게 돼.	5	5	90
워킹맘인 내가 싫어	70	10	20
살도 엄청 빠지고 맨날 온몸이 펄펄 끓고 장난 아니었어요.	10	20	70
아기가 아프다고 하니까 너무 절망적이더라고	10	80	10
7월부터 먹는 걸로 스트레스 풀었던 거 같아.	10	20	70
우울해서 패배감이 드는 걸까	10	80	10
내 스스로가 너무 쪽팔려서 죽을 거 같아	20	10	70
너무 원망스러운데… 그냥 어쩔 수 없다 포기하게 되더라구요.	70	20	10
차라리 죽는 게 낫지 않을까요?	20	70	10
자꾸 비관적인 생각만 하게 돼	5	90	5
병원에서 의사 얼굴 보면 짜증나 미치겠어	20	70	10
나한테 단단히 미운 털이 박혔어요	20	70	10
임신한 후로 힘이 없는 거 같아	20	10	70
내 탓이라고 하는 게 속 편해	70	20	10
뒤지고 싶은 생각만 들어	20	70	10
아기 잃고 내가 참 쓸모 없이 느껴지더라	20	70	10
다들 왜 나를 무시하는 건지 모르겠어요.	5	90	5
왜 이렇게 입맛이 없는지 아니?	5	5	90
마음이 무너지는 것 같아	80	10	10
내가 이 세상에 살아야 할 의미가 있을까?	10	70	20
뭐 하고 싶지도 않아. 	5	5	90
왜 요즘 무력감이 드는 걸까	10	10	80
하루도 고독하지 않은 날이 없어	20	70	10
살이 빠지니까 계속 우울해	5	5	90
떡볶이를 봐도 먹고 싶다는 생각이 1도 안들어요.	20	10	70
스트레스 받아서 밥맛도 없고 다 귀찮아	10	10	80
내가 너무 작은 사람같아서 사는게 괴롭게 느껴져	70	20	10
인생이 무너져내리고 있다는 생각이 들었어	10	80	10
자신감이 없어지더라구요.	10	20	70
쉬는 것도 없이 토하기 전까지 먹어요	10	20	70
스치기만 해도 날카로워져	20	10	70
멍해요.	10	20	70
아무래도 어렸을 때 항상 혼자 있어서 이렇게 외로워 하는 것 같아.	10	70	20
그때부터 먹는 걸로 스트레스를 풀었던 것 같아요.	10	20	70
신경 쓸 게 왜 이리 많은지 오히려 아무것도 못 하겠네	5	5	90
식욕이 바닥이야	10	20	70
사람들 속에 있어도 나 혼자 있는 것 같고 이 허무함과 서글픔은 메워지지 않는 것 같아	80	10	10
집에서도 나가기 싫고 공부도 하기 싫고… 아무 것도 하기 싫어요.	10	10	80
출산일 다가올수록 마음도 초조하고 몸이 무거워	10	20	70
계속 가족들이랑 떨어져 있어서 외로운데 또 한국에서 대학 다니긴 싫거든요.	5	90	5
부모님도 왜 벌써 아기를 가졌냐고 차갑게 얘기해	10	70	20
병원에서 매일 눈뜨고 잠들 때마다 죽고 싶었어.	5	90	5
밥 먹을 때마다 억지로 먹게 되고 마음이 답답해요	5	5	90
일상생활이 힘들 정도로 힘이 자주 빠지는 거 같아	10	20	70
제왕 해야 하는 게 모두 내 잘못인 것 같아 	10	80	10
남편때문에 예민해	10	20	70
집에 가기도 싫고, 혼자 있고 싶어요.	10	10	80
잘 때 되면 더 답답해	90	5	5
모든 게 재미없으니까 우울해	80	10	10
왜 내 인생이 이렇게까지 망가져야 하는지… 그 사람을 죽이고 싶어.	80	10	10
나만 이렇게 못난 것 같아.	5	90	5
우울증 때문에 죽고 싶어	70	10	20
웹 상에서는 말도 잘 하고 활발한데… 현실에선 그게 너무 힘들어.	10	20	70
그래서 가끔 우울하긴 했는데 그래도 금방 극복했어.	10	20	70
적적하니까 술이 너무 고파	20	70	10
자꾸 널부러져 있으니까 꼼짝도 하기 싫어	10	10	80
내가 실패했다는 생각이 들고 상실감 들어	5	90	5
입맛이 너무 없어서 밥도 못 먹고 링겔을 맞았어.	10	10	80
인생 마감하고 다 끝내고 싶어요	10	80	10
몸이 할머니가 다 돼서 그런지 너무 버겁다	20	10	70
누가 실수하는 거 보면 진짜 머리 끝까지 화가 나서 주체가 안 돼.	70	10	20
진짜 자존감이 바닥을 친다… 나 따위는 별 것도 아닌 것 같아.	10	70	20
신경질이 심하게 나서 물건을 다 엎어뜨린 적이 있었어	70	10	20
집중하기가 힘들었어요	20	10	70
많이 우울할때면 몸무게가 10kg 이상 빠지기도 해.	10	20	70
일 때문에 엄청 처먹게 돼	5	5	90
누가 있든 없든 매일 폭식을 해	20	10	70
내가 많이 위축된 거 같아	10	70	20
동창회에 나가면 친구들이 나를 무시하는것 같아서 자꾸 피하게 돼	70	20	10
튼 살 늘어나는 거 볼 때마다 심란해져요	5	5	90
남편 없이 지내니까 자도 자도 피곤하기만 해	20	10	70
신경질이 나서 지하철을 못 타겠어	90	5	5
먹고 있는데도 먹는 게 계속 생각나요	5	5	90
섹스 생각이 사라졌는데 그래도 티는 안 내려고 노력중이야	10	20	70
집에 아무도 없으면 진짜 서럽고 힘들어	20	10	70
재기를 못하고 있으니 점점 작아지는 느낌이예요.	20	10	70
임신하고 몸이 너무 안 좋아서 집에만 있으니까 패배자가 된 기분이었어.	10	80	10
당분간은 뭘 하고 싶지 않으니까 가족들도 날 내버려뒀으면 좋겠어..	10	10	80
몸이 너무 심하게 처져서 내 마음대로 안 되는 느낌이야	20	10	70
요새는 다시 멍해요.	10	20	70
요새는 자꾸 하는 일도 흥미적성에 맞지 않는 것 같고 열정이 그냥 식은 것 같아	70	20	10
회사나 돈 문제로 스트레스를 많이 받으니까 요즘 너무 우울해.	10	20	70
근데 다음 날에 술 깨고 나면 기분이 너무 안 좋아.	5	5	90
봄에 특히 몸무게가 많이 늘어	20	10	70
과체중 되는 속도가 점점 빨라지는 것 같아	5	5	90
주위사람들도 짜증이 엄청 늘었다고 하더라	70	10	20
일이 없으니까 점점 늘어지는군	10	20	70
나 보는 사람들마다 살이 왜 이렇게 빠졌냐고 다들 놀라.	5	5	90
자꾸 브라에 묻어서 짜증나	10	80	10
마음을 터놓을 친구가 없어	5	90	5
그래서 밖에도 못 나가고 그냥 집에만 있었어요.	10	20	70
내가 원망스러워서 자꾸 내 탓을 하게 돼	90	5	5
너무 몸이 무겁고 피곤해서 짜증 내는 일이 잦아졌어	20	10	70
클럽에서 다른 이성을 만나도 재미가 없어.	10	20	70
외로움 속에 있는 것 같아	10	80	10
길거리에 나가서 닭꼬치라도 팔아야 할 판인데… 자신이 없어요.	10	10	80
내 인권을 위해 싸우는 것도 다 귀찮고 일도 너무 힘들어.	5	5	90
꿋꿋하게 살아보려고 노력하다가도 사람들이 손가락질을 하면 한순간에 무너져	5	90	5
너무 답답하니까 정신이 나가버릴 거 같아	70	20	10
시끄러워서 숙면을 취할 수가 없어	5	5	90
울렁거리는 것때문에 죽을 것 같아	5	5	90
아기를 생각하면 이쁜 생각만해야 하는데 목소리도 듣기 싫어	90	5	5
계속 먹고 싶은 이유를 모르겠어	10	10	80
짜증나서 소화가 안 돼	10	10	80
지금 상태가 너무 불안한지 분노조절장애인 것 같아요	10	70	20
이유없이 잠드는 게 어려워	10	20	70
화장실만 가면 너무 초조하고 숨이 가빠져	20	10	70
사람들 사이에서 겉도는 느낌이야	10	80	10
나를 무시하는 것 같아서 너무 힘들어.	20	70	10
의욕이라는 게 안 생긴다	20	10	70
차라리 죽고싶어.	10	70	20
진짜 너무 힘들어서 아무 의욕도 안 생겨요…	10	10	80
계속 몸이 안 좋으니까 아이한테도 남편한테도 죄책감이 들어	5	90	5
얼마나 자야 안 피곤한 건지 모르겠다	5	5	90
하루종일 죽고 싶단 생각밖에 안 들고.	20	70	10
자신감이 뚝뚝 떨어지는 것 같았어요.	5	5	90
입맛이 없는데 이유를 모르겠어	10	20	70
어떻게 이렇게 비참할 수 있는지 모르겠어	20	70	10
TV를 봐도 내용을 자꾸 놓쳐요	5	5	90
인생은 혼자구나.. 그런 생각이 들어	10	70	20
능력도 없는데 미혼모로 살아갈 생각을 하니 너무 끔찍해	10	80	10
식욕이 왜 이렇게 떨어지지?	10	10	80
뱃속에 있을 때를 즐기라고 하는데 만삭인 나는 하나도 즐겁지 않아	80	10	10
가둬놓고, 먹을 것도 안 주고 죽을 때까지 팰 거야.	90	5	5
내 스스로가 너무 부끄러워서 움츠러드는 게 느껴져	20	10	70
1년 전에는 아무데도 안 가고 3달 동안 집에서만 있었어요.	20	10	70
전출 신청했는데 도저히 기다릴 수 없을 만큼 힘들었어요.	10	10	80
이 세상에는 오직 나와 내 아이밖에 없는 것 같아요	10	70	20
말아먹을 거 같은 느낌에 도전을 못 하겠어	10	80	10
혼자 애 가진 나를 자꾸 꾸짖게 돼	90	5	5
그 오빠 때문에 인생이 다 꼬여버린 것 같아요.	70	10	20
나 차라리 죽는 게 낫지 않을까?	10	80	10
패배감에 사로잡혀서 미칠 것 같아요	10	80	10
나도 차라리 죽고 싶었어.	10	70	20
점점 먹는 양이 줄고 있어	20	10	70
기분이 자주 울적해지는 것 같아	10	20	70
의사만 앞에 있으면 내가 모든 걸 다 망쳤다는 생각이 들어	10	80	10
그때 처음 패배감을 느꼈어.	10	70	20
막상 휴학하니까 매일 늦게 일어나고 알바가기도 싫고 아무것도 하기 싫어.	10	10	80
꿀꿀하고 과일 말고는 딱히 먹고 싶은 게 없어	5	5	90
내가 한 모든 행동이 바보같이 느껴지면서 허전했어	80	10	10
아무 능력도 없는데 아기를 가진것 같아서 너무 힘들어	5	90	5
혼이 쏙 빠져서 미치겠어	20	10	70
침대에 거의 하루종일 있는 거 같아요…	5	5	90
매일 이러니까 미쳐버릴꺼같아.	10	20	70
뒤척거리느라 잠을 못 자서 돌아버릴 것 같아요	20	10	70
원래 다니던 학교보다 이 학교가 공부를 더 잘하는 학교라 너무 힘들거든요.	20	10	70
내 주변에 믿을 사람이 하나도 없고 허무해	5	90	5
남편이 원하는 거 아는데 섹스하기가 싫어	10	10	80
사람이 계속 우울해지니까 뭘 못하겠더라구요.	20	10	70
스트레스 때문에 식사량이 줄어들었어요	10	10	80
자려고 누우면 진짜 너무 외롭고 슬퍼서 잠도 잘 못 자.	10	70	20
죽고싶다는 생각을 하게됐지.	5	90	5
움직이기 귀찮고, 아무것도 하기가 싫어요.	20	10	70
나름 영어도 들리고 학교생활도 적응했지만 너무 외로웠어요.	10	70	20
착잡하니까 울고 싶고 그래	90	5	5
집안 사정도 안 좋아지고 학점도 많이 떨어져서 힘들거든요.	10	20	70
생활고에 시달리니까 인생이 한심스럽게 느껴졌어	20	70	10
혼자 하루 종일 있는데 다 외롭고 하루를 무의미하게 보내는 것 같아	80	10	10
남들이랑 같이 먹을 때 엄청 처먹게 돼	10	10	80
크게 불만 없이 살아왔는데 요즘은 제 자신이 멍청하게 느껴져요.	10	80	10
남편때문에 입맛이 안 생겨	20	10	70
식욕저하 증상이 나타난지 4개월쯤 됐어요.	10	20	70
최저시급이나 받고 있으니 내가 한심하다.	10	70	20
일하고 있어서 전화를 못 받으면 그런 지랄이 없어…	80	10	10
내가 재미를 못 느끼나.	5	5	90
아무도 날 좋아하지 않는 거 같아요.	10	20	70
체력이 바닥 되니까 힘들어 죽겠네	20	10	70
이렇게 차별할 수 있나 싶고, 가족같지도 않아요.	90	5	5
그냥 삶이 재미가 없어.	5	5	90
자꾸만 신랑에 대한 불만이 쌓여	20	10	70
내 방에서 털이 보일 때마다 아주 분노가 치밀어 올라.	80	10	10
우울함이 또 찾아오더라.	10	10	80
쉽게 잠을 못 자니까 일상 자체가 힘들다	10	10	80
아빠때문에 인생 마감하고 싶어	10	80	10
사람한테 데여서 내가 다 정리했는데 왜 이렇게 허전하고 스트레스 받는지 모르겠어	5	90	5
평생 못 잘 것 같아	20	10	70
식욕저하 때문에 계속 밥을 못 먹어서 정신이 몽롱해.	5	5	90
나 계속 이런 성질로 살면 망하는 거 아니야?	10	80	10
입맛 없어서 생활하기도 힘들어	10	10	80
뭘 먹어야겠다는 생각이 안 들어. 	5	5	90
모든 게 노잼인 것 같아요	70	20	10
최근부터 사기가 너무 떨어져요	70	20	10
내가 미혼모라는 사실이 너무 끔찍하게 느껴져	10	70	20
마음은 초조한데 의욕이 하나도 안 생겨서 너무 괴로워	10	10	80
이렇게 살 바엔 죽어버리는 게 나은 것 같아.	10	80	10
몸도 편하지 않고 마음도 편하지 않아	10	10	80
임신하고 나서 삶의 기쁨이 줄어든 것 같아	70	20	10
인간관계 속에서 서운한 게 쌓이니까 화를 못 참겠어	20	10	70
이젠 즐겁다는 감정을 모르겠어	70	20	10
이러다 보니까 제 자신이 더 작아지는 것 같고…	5	90	5
그냥 절벽 끝에 서 있는 거 같다	20	10	70
너무 힘이 없어서 검진 가는 것도 힘들어	20	10	70
체중이 줄어들면서 계속 멍해지네	20	10	70
피로가 심하고 몸이 무거워서 인생이 재미가 없어	5	5	90
움직이는 게 힘드니까 멍한 상태가 되는 것 같아	70	10	20
뭘 더 해야 애기가 나올 수 있는지 진짜 허망해	90	5	5
세상 그렇게 미울 수가 없어	20	70	10
사람들이 나를 처다만 봐도 만만해서 쳐다보는 것 같고 그래.	10	70	20
모든 사람들이 나만 괴롭히는것 같아요	70	20	10
임신 중에 남편이 바람이 피우는걸 알고나서 정말 너무 고통스러웠어	90	5	5
정말 어중간하게 아무것도 아닌 인간으로 살고 있는 것 같아요.	10	70	20
신랑때문에 속이 안 좋아	20	10	70
근데 진짜 갑자기 화가 치밀어서 소리 지르면서 싸웠어요.	70	10	20
하루종일 멍해지는 것 같기도 하고… 아무튼 고민이 많다.	10	10	80
밤이 되면 외로움 터져	5	90	5
친구들이 냉랭하게 구니까 꼴도 보기 싫어서 안 봐	20	70	10
혼자 있으면 미친듯이 먹는 것 같아	20	10	70
단어가 생각이 안 날만큼 집중력이 떨어졌고 계속 깜빡 하니까 걱정 돼	5	5	90
내 인생 치욕이다	5	90	5
신경질이 나서 다른 사람들이랑 말도 못 섞겠어	70	10	20
몇 날 며칠을 내가 잘못한 것도 아닌 일에 정신을 쏟고 있어	10	80	10
마음은 초조한데 의욕이 없어서 핸드폰만 쳐다보고 있는 거 같아	20	10	70
교수도 별로 마음에 안 들고.	70	20	10
하늘이 무너진 거 같아.	10	70	20
미혼모라는 이유로 사람들이 나를 조롱하는 느낌이야.	10	80	10
기운도 하나도 없고 하고 싶은 일도 없고. 그냥 무슨 욕구 같은 게 없고…	10	10	80
시집살이 할 생각을 하면 너무 암담하다	10	10	80
나 요즘 계속 과식을 해	20	10	70
내 몸이 힘든데 첫째 아이까지 케어해야 하니까 이렇게 고독할 수가 없어	10	80	10
갑자기 글자가 눈에 안 들어오고 울적해요	20	10	70
태교요가도 안 하고 싶어	20	10	70
환자마냥 계속 누워만 있어	20	10	70
